ms_file,ms_file_label,peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename,peak_area,peak_area_top3,peak_n_datapoints,peak_max,peak_rt_of_max,peak_min,peak_median,peak_mean,peak_delta_int,peak_shape_rt,peak_shape_int,peak_mass_diff_25pc,peak_mass_diff_50pc,peak_mass_diff_75pc,peak_score,total_intensity,ms_file_size_MB,rt_diff [s]
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B1.mzXML,CA_B1,Arabitol,151.0605,10,295.50000000000006,277.0,315.0,s,0,targets.csv,1448914.0,51759.0,59,60581.0,280.5530090332031,2422.0,25914.0,24557.86440677966,2602.0,"277.1,277.81,278.51,279.18,279.86,280.55,281.25,281.96,282.68,283.4,284.14,284.79,285.4,285.99,286.57,287.15,287.73,288.32,288.89,289.47,290.06,290.65,291.24,291.82,292.42,293.01,293.62,294.22,294.82,295.44,296.05,296.67,297.3,297.93,298.57,299.2,299.84,300.48,301.14,301.81,302.47,303.13,303.8,304.48,305.15,305.82,306.49,307.17,307.84,308.52,309.19,309.87,310.55,311.24,311.94,312.62,313.32,314.02,314.71","2422,2798,5192,6006,9870,14188,20467,35327,41981,46871,60581,47827,42259,42934,32004,25914,39520,29305,37256,38839,21099,26076,42022,30493,39678,41194,36949,37599,38162,42741,36434,32509,37321,35489,24598,26827,28807,31837,31070,21117,24357,20735,14779,15556,14225,15988,14092,10049,9361,12149,9771,6553,7050,7179,6662,3589,3862,4350,5024",2.330528372801293,2.532550596512985,2.6335617083688305,0.05787198399020679,25525758921,12.731822967529297,-14.946990966796932
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B1.mzXML,CA_B1,Mevalonate,147.0657,10,180.0,100.0,266.0,s,0,targets.csv,11211.0,746.0,22,1240.0,133.68899536132812,333.0,464.0,509.59090909090907,18.0,"100.33,105.63,106.39,114.73,115.49,123.83,125.35,127.62,129.9,132.17,132.93,133.69,135.21,136.72,142.03,145.82,148.1,148.85,167.81,182.22,193.59,198.87","422,333,377,475,479,444,428,548,562,721,511,1240,488,424,453,415,404,594,566,371,552,404",1.6896280242942976,2.104647680475175,2.208402594520394,0.015680046151656038,25525758921,12.731822967529297,-46.311004638671875
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B1.mzXML,CA_B1,Nicotinate,122.02455,10,183.204,163.0,228.0,s,0,targets.csv,162030.0,8181.0,51,9073.0,226.54600524902344,455.0,2279.0,3177.0588235294117,88.0,"173.88,176.91,178.43,179.18,179.94,180.7,181.46,182.22,182.98,183.73,184.49,185.25,186.01,186.77,187.52,188.28,189.04,189.8,190.56,191.32,192.07,192.83,193.59,194.35,195.1,195.85,196.6,197.36,198.12,198.87,199.63,200.39,201.13,201.88,202.64,203.4,204.15,204.88,206.39,207.15,207.9,208.64,209.4,210.15,211.67,212.43,213.19,220.62,224.28,226.55,227.3","647,811,698,455,1794,2279,3196,2557,3740,4891,6199,4494,8818,7452,6829,7238,8057,9073,7415,7387,3730,5043,5825,6338,4019,4722,3485,3349,4439,3023,2034,2011,2340,1963,1731,919,1129,879,703,635,1613,1940,791,1313,613,479,761,624,485,505,559",-0.801400434164328,-0.6763535557902631,-0.48878323822916575,0.03052794978664101,25525758921,12.731822967529297,43.34200524902343
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B1.mzXML,CA_B1,Succinate,117.01905,10,122.634,122.2,150.0,s,0,targets.csv,271180.0,10653.0,37,17542.0,123.0739974975586,2836.0,6427.0,7329.189189189189,12906.0,"122.32,123.07,123.83,124.59,125.35,126.11,126.86,127.62,128.38,129.14,129.9,130.66,131.41,132.17,132.93,133.69,134.45,135.21,135.96,136.72,137.48,138.24,139.0,139.76,140.51,141.27,142.03,142.79,143.55,144.3,145.06,145.82,146.58,147.34,148.1,148.85,149.61","17542,14418,14203,13654,13245,9973,8776,11262,9934,10670,8331,8560,6968,7021,7312,6372,6850,6427,4883,7659,4911,6656,5603,5577,4703,4850,4454,4414,4146,4543,4866,3679,2836,3372,3603,4271,4636",0.005111514222206202,0.07030939893627627,0.26590305307848644,0.017932938093869602,25525758921,12.731822967529297,0.4399974975585934
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B1.mzXML,CA_B1,Urocanate,137.0354,10,264.9,240.0,290.0,s,0,targets.csv,84755.0,4432.0,48,5561.0,240.9530029296875,340.0,1480.0,1765.7291666666667,3260.0,"240.2,240.95,242.47,243.23,243.99,244.74,245.5,246.26,247.02,247.78,248.54,249.29,250.05,250.81,252.33,255.36,256.12,256.88,257.64,258.39,259.15,259.91,260.67,261.43,262.18,262.94,263.7,264.45,265.2,265.95,266.71,267.47,268.23,268.99,269.75,271.25,272.71,274.89,275.62,277.81,279.18,280.55,281.25,281.96,282.68,283.4,284.14,284.79","340,547,926,532,1940,767,905,2303,585,1668,424,1664,1512,1448,583,661,543,933,747,451,911,869,2694,5126,4307,4910,5561,2827,2801,1985,969,1758,1614,1619,2580,1748,1950,484,748,953,781,1211,2084,2479,4463,3412,832,3600",-0.5538957110525311,-0.33119721033665767,-0.19201064738923676,0.016250234398761013,25525758921,12.731822967529297,-23.946997070312477
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B1.mzXML,CA_B1,Xanthine,151.02585,10,250.0,208.0,290.8,s,0,targets.csv,4041756.0,158500.0,113,163234.0,284.7909851074219,5478.0,15925.0,35767.75221238938,20130.0,"208.64,209.4,210.15,210.91,211.67,212.43,213.19,213.95,214.7,215.46,216.22,216.97,217.7,218.44,219.16,219.89,220.62,221.34,222.07,222.79,223.52,224.28,225.04,225.79,226.55,227.3,228.06,228.82,229.58,230.34,231.1,231.85,232.61,233.37,234.13,234.89,235.65,236.4,237.16,237.92,238.68,239.44,240.2,240.95,241.71,242.47,243.23,243.99,244.74,245.5,246.26,247.02,247.78,248.54,249.29,250.05,250.81,251.57,252.33,253.09,253.84,254.6,255.36,256.12,256.88,257.64,258.39,259.15,259.91,260.67,261.43,262.18,262.94,263.7,264.45,265.2,265.95,266.71,267.47,268.23,268.99,269.75,270.51,271.25,271.97,272.71,273.43,274.15,274.89,275.62,276.37,277.1,277.81,278.51,279.18,279.86,280.55,281.25,281.96,282.68,283.4,284.14,284.79,285.4,285.99,286.57,287.15,287.73,288.32,288.89,289.47,290.06,290.65","9613,7658,8738,9692,11726,19729,14710,11319,14028,18028,33059,46889,61425,75356,87915,98451,136679,138747,144179,153012,160251,155565,163234,156702,136301,113668,109251,100357,87681,74702,73187,55310,58907,56977,53190,48429,43396,42733,32602,40857,43130,37797,37966,38679,34393,35473,34126,38283,35682,30756,31322,22136,25231,19461,19956,17731,15925,12330,14286,15428,13416,10766,9708,8893,10486,9922,9282,9761,10774,9244,10793,13590,10326,8253,10156,7976,6949,8028,7226,8483,5975,8630,10194,8356,9462,10395,9078,8933,7584,12198,7275,6567,9276,11655,7981,11479,10995,9567,9838,7448,6671,5478,8873,13446,15931,19147,8578,27168,26542,29404,24520,24993,29743",-0.3137720814269137,-0.2127377944985501,-0.1117035075701865,0.024089988410520128,25525758921,12.731822967529297,34.790985107421875
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B2.mzXML,CA_B2,Arabitol,151.0605,10,295.50000000000006,277.0,315.0,s,0,targets.csv,885915.0,27296.0,56,33862.0,278.26800537109375,1950.0,16126.5,15819.910714285714,1784.0,"277.53,278.27,278.99,279.69,280.41,281.15,281.91,282.66,283.42,284.18,284.85,285.47,286.06,286.65,287.23,287.82,288.41,289.01,289.61,290.19,290.79,291.39,291.99,292.59,293.2,293.81,294.43,295.06,295.69,296.33,296.97,297.62,298.28,298.96,299.63,300.32,301.0,301.69,302.39,303.09,303.81,304.53,305.26,305.99,306.71,307.43,308.17,308.91,309.62,310.35,311.09,311.82,312.55,313.29,314.04,314.78","1950,2539,2632,4919,6788,10142,15199,19792,31971,33078,31818,26588,16181,16072,15446,30283,16759,25498,21549,28309,24158,27700,17270,22371,21092,24532,18771,25160,28831,33862,19196,17838,17028,20181,19339,16970,10193,19277,12929,16001,15736,10153,9819,10388,7165,9858,7952,7118,6609,5845,5494,2034,5982,4281,3535,3734",2.532550596512985,2.6335617083688305,2.734572820224676,0.05019942178780708,23900088940,12.576957702636719,-17.231994628906307
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B2.mzXML,CA_B2,Mevalonate,147.0657,10,180.0,100.0,266.0,s,0,targets.csv,27670.0,768.0,49,1320.0,102.47000122070312,335.0,549.0,564.6938775510204,118.0,"102.47,113.84,119.15,119.91,122.94,123.7,124.46,126.73,127.49,129.77,130.52,131.28,132.04,132.8,133.56,134.32,135.07,135.83,139.62,142.66,143.41,144.17,144.93,145.69,146.45,147.21,149.48,151.76,153.27,154.03,154.79,157.06,160.09,160.85,163.89,166.92,167.68,168.43,169.19,169.95,171.47,172.23,187.39,191.94,193.46,203.14,204.64,214.29,234.38","553,605,416,357,695,610,716,690,510,515,805,600,425,1320,559,460,688,565,705,403,547,518,531,513,787,722,335,503,457,607,503,568,565,541,549,441,369,612,610,594,392,474,577,531,625,581,468,518,435",1.7933829383395168,2.0008927664299554,2.312157508565613,0.011003857590431218,23900088940,12.576957702636719,-77.52999877929688
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B2.mzXML,CA_B2,Nicotinate,122.02455,10,183.204,163.0,228.0,s,0,targets.csv,407030.0,18237.0,64,21670.0,223.8520050048828,386.0,3083.0,6359.84375,279.0,"165.4,166.16,177.53,178.29,179.05,179.81,180.57,181.32,182.08,182.84,183.6,184.36,185.12,185.88,186.63,187.39,188.15,188.91,189.67,190.42,191.18,191.94,192.7,193.46,194.21,194.97,195.7,196.45,197.18,197.92,198.66,199.39,200.14,200.89,201.65,202.4,203.14,203.89,204.64,205.38,206.13,206.86,207.57,208.32,209.05,209.79,210.53,211.29,212.03,212.78,213.53,215.05,215.8,216.54,217.29,218.77,220.21,221.66,222.39,223.85,224.59,225.34,226.07,227.56","386,422,557,418,2308,2066,2741,5123,7423,8764,11277,11387,15858,15276,15834,15497,18054,18703,16254,17015,21670,16026,20889,12311,10875,18032,19112,10937,12291,7095,7274,4648,5812,4933,3617,4044,3755,3610,2946,2638,3220,2640,2145,2489,2483,555,1762,2140,804,727,702,880,964,978,540,868,874,666,797,585,488,611,569,665",-0.48878323822916575,-0.3637363598551009,-0.23868948148103597,0.03351901068754456,23900088940,12.576957702636719,40.648005004882805
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B2.mzXML,CA_B2,Succinate,117.01905,10,122.634,122.2,150.0,s,0,targets.csv,259871.0,10052.0,37,18235.0,148.72300720214844,560.0,6127.0,7023.540540540541,14454.0,"122.94,123.7,124.46,125.22,125.97,126.73,127.49,128.25,129.01,129.77,130.52,131.28,132.04,132.8,133.56,134.32,135.07,135.83,136.59,137.35,138.11,138.87,139.62,140.38,141.14,141.9,142.66,143.41,144.17,144.93,145.69,146.45,147.21,147.96,148.72,149.48","18235,11922,14639,11977,10207,11660,8635,10353,7906,9384,6694,7292,6666,6765,6329,7133,7121,7121,6127,4069,5017,5221,5014,5210,5464,4356,6038,4006,5683,4834,4310,5195,4555,4861,5531,3781",0.07030939893627627,0.2007051683644164,0.26590305307848644,0.01448601612115819,23900088940,12.576957702636719,26.089007202148437
