peak_label,mz_mean,rt,rt_min,rt_max,category,formula,mz_width,refmet_name,refmet_regno,pubchem_cid,Flagg
1-AMINOCYCLOPROPANE-1-CARBOXYLATE,100.0398485,7.81,7.55,8.15,13,C4H7NO2,10,1-Aminocyclopropanecarboxylic acid,47363,535,0
1-HYDROXY-2-NAPHTHOATE,187.0395141,3.44,3.15,4.86,63,C11H8O3,10,1-hydroxy-2-naphthoate,49835,6844,0
1-METHYLADENOSINE,280.104574,3.45,3.2,4,12,C11H15N5O4,10,1-Methyladenosine,38291,27476,0
10-HYDROXYDECANOATE,187.1334145,0.86,0.62,1.53,37,C10H20O3,10,10-hydroxydecanoic acid,1309,74300,0
2-AMINO-2-METHYLPROPANOATE,102.0554985,7.48,7.36,8,25,C4H9NO2,10,Aminoisobutyric acid,1877,6119,0
2-AMINOETHYL DIHYDROGEN PHOSPHATE,140.0112647,8.32,8.24,8.6,19,C2H8NO4P,10,Phosphoethanolamine,37145,1015,0
2-AMINOPHENOL,108.0449338,2.69,1.58,3.79,40,C6H7NO,10,2-aminophenol,51159,5801,0
2-DEOXY-D-GLUCOSE,163.0606435,3.66,3.36,3.9,11,C6H12O5,10,2-deoxy-glucose,49900,439268,0
2-HYDROXY-4-[METHYLTHIO]BUTYRIC ACID,149.0272354,4.61,3.28,7.11,53,C5H10O3S,10,2-Hydroxy-4-(methylthio)butanoic acid,47619,11427,0
2-HYDROXYBUTYRIC ACID,103.0395141,3.45,2.76,5.69,30,C4H8O3,10,2-hydroxybutyric acid,57474,449265,0
2-HYDROXYPHENYLACETIC ACID,151.0395141,1.59,1.43,3.03,37,C8H8O3,10,2-hydroxyphenylacetic acid,49852,11914,0
2-HYDROXYPYRIDINE,94.02928379,2.91,2.5,3.31,37,C5H5NO,10,2-hydroxypyridine,42491,8871,0
2-METHYLMALEATE,129.0187787,4.55,4.46,5.06,41,C5H6O4,10,Citraconic acid,2018,643798,0
2-METHYLPROPANOATE,87.0445995,0.92,0.88,1.02,34,C4H8O2,10,Isobutyric acid,141,6590,0
2-OXOADIPATE,159.0293434,6.86,6.57,7.91,45,C6H8O5,10,Oxoadipic acid,2033,71,0
2-OXOBUTANOATE,101.0238641,5.07,4.71,5.61,38,C4H6O3,10,3-methyl pyruvic acid,1526,58,0
2-QUINOLINECARBOXYLIC ACID,172.0398485,0.96,0.7,2.1,39,C10H7NO2,10,Quinaldic acid,37458,7124,0
3-AMINO-4-HYDROXYBENZOIC ACID,152.0347631,2.69,1.55,4.01,40,C7H7NO3,10,3-amino-4-hydroxybenzoic acid,51960,65083,0
3-AMINO-5-HYDROXYBENZOIC ACID,152.0347631,2.96,2.36,3.56,37,C7H7NO3,10,3-amino-5-hydroxybenzoic acid,54080,127115,0
3-DEHYDROSHIKIMATE,171.0293434,4.48,4.36,4.95,9,C7H8O5,10,3-dehydroshikimate,49909,439774,0
